cust_id,age,gender,location,platform,followers,eng_rate,ad_click_rate,brand_time_week,ugc_shares,monthly_purchases,avg_spend_ghs,trust_score,satisfaction_score,loyalty_score,nps_score,infl_score,promo_sens,brand_switch,satisfaction_cat,infl_cat,follower_segment,eng_rate_scaled,ad_click_rate_scaled,brand_time_week_scaled,ugc_shares_scaled,monthly_purchases_scaled,avg_spend_ghs_scaled,trust_score_scaled,satisfaction_score_scaled,loyalty_score_scaled,nps_score_scaled,infl_score_scaled,Digital_Engagement_Score,Cust_Value_Score,Brand_Rel_Score,Eng_Segment,Value_Segment,Influencer_Tier,Eng_Efficiency,Platform_Loc_Fit,Ugc_Effectiveness,Eng_Trust_Conversion,Click_Purchase_Efficiency,Loyalty_Resilience,Growth_Potential,Profit_Potential,BehaviorType_Score
Cust084,41.0,Female,Urban,Facebook,24476.0,9.63,3.73,228.99,0,6.0,1920.2,2.0,6.0,9.0,4.0,6.0,0.0,0.0,Medium,Medium,20K-50K,0.985,0.751,0.752,0.0,0.625,0.961,0.111,0.556,0.889,0.333,0.556,0.622,1.586,0.472,High_Engager,High_Value_Customer,Mid-Tier,0.042,4.851,0.0,0.009,1.268,9.0,1.241,0.176,1.586
Cust077,58.0,Female,Rural,Facebook,49789.0,5.97,2.46,257.13,1,3.0,1555.17,7.0,1.0,6.0,9.0,8.0,1.0,0.0,Low,High,20K-50K,0.584,0.492,0.85,1.0,0.25,0.773,0.667,0.0,0.556,0.889,0.778,0.732,1.023,0.528,Medium_Engager,High_Value_Customer,Macro,0.023,5.74,7.0,0.027,0.867,6.0,0.881,0.682,0.0
Cust019,55.0,Female,Rural,Instagram,42019.0,5.55,2.14,64.56,0,7.0,1982.31,10.0,7.0,5.0,3.0,7.0,0.0,1.0,Medium,Medium,20K-50K,0.538,0.427,0.176,0.0,0.75,0.993,1.0,0.667,0.444,0.222,0.667,0.285,1.743,0.583,Medium_Engager,High_Value_Customer,Macro,0.085,6.105,0.0,0.153,2.229,0.0,1.268,1.743,1.743
Cust073,35.0,Male,Rural,Instagram,40211.0,6.6,2.79,204.76,0,6.0,1029.46,8.0,7.0,3.0,2.0,1.0,1.0,0.0,Medium,Low,20K-50K,0.653,0.559,0.667,0.0,0.625,0.502,0.778,0.667,0.222,0.111,0.0,0.47,1.127,0.444,High_Engager,High_Value_Customer,Micro,0.032,6.105,0.0,0.039,1.583,3.0,0.721,0.877,0.0
Cust095,59.0,Male,Rural,Linkedin,13503.0,0.72,4.46,110.99,1,3.0,1206.28,1.0,10.0,6.0,4.0,2.0,1.0,0.0,High,Low,5K-20K,0.009,0.9,0.339,1.0,0.25,0.593,0.0,1.0,0.556,0.333,0.111,0.562,0.843,0.472,Low_Engager,Standard_Customer,Micro,0.006,4.797,1.0,0.009,0.549,6.0,0.639,0.0,0.0
Cust051,53.0,Female,Rural,Facebook,34684.0,1.6,0.59,145.92,1,5.0,698.99,8.0,5.0,4.0,3.0,9.0,1.0,0.0,Medium,High,20K-50K,0.105,0.11,0.461,1.0,0.5,0.332,0.778,0.444,0.333,0.222,0.889,0.419,0.832,0.444,Low_Engager,Standard_Customer,Macro,0.011,5.74,8.0,0.054,3.145,4.0,0.744,0.647,0.0
Cust080,18.0,Female,Rural,Facebook,10747.0,4.85,0.28,264.23,0,8.0,1152.74,3.0,2.0,5.0,9.0,9.0,0.0,1.0,Low,High,5K-20K,0.461,0.047,0.875,0.0,0.875,0.566,0.222,0.111,0.444,0.889,0.889,0.346,1.441,0.416,Medium_Engager,High_Value_Customer,Macro,0.018,5.74,0.0,0.011,6.25,0.0,1.131,0.32,1.441
Cust070,57.0,Male,Rural,Linkedin,40964.0,6.76,1.88,189.26,0,4.0,788.7,4.0,1.0,9.0,1.0,8.0,1.0,0.0,Low,High,20K-50K,0.67,0.373,0.613,0.0,0.375,0.378,0.333,0.0,0.889,0.0,0.778,0.414,0.753,0.306,High_Engager,Standard_Customer,Macro,0.036,4.797,0.0,0.021,1.389,9.0,0.785,0.251,0.0
Cust072,33.0,Male,Rural,Instagram,12633.0,1.17,3.89,42.93,0,6.0,1227.72,6.0,8.0,3.0,8.0,8.0,1.0,1.0,High,High,5K-20K,0.058,0.784,0.1,0.0,0.625,0.604,0.556,0.778,0.222,0.778,0.778,0.236,1.229,0.584,Low_Engager,High_Value_Customer,Macro,0.027,6.105,0.0,0.137,1.227,0.0,0.937,0.683,0.0
Cust008,28.0,Female,Urban,Instagram,47433.0,0.79,1.41,141.82,1,2.0,320.71,10.0,1.0,10.0,7.0,9.0,0.0,0.0,Low,High,20K-50K,0.016,0.278,0.447,1.0,0.125,0.137,1.0,0.0,1.0,0.667,0.889,0.435,0.262,0.667,Low_Engager,Standard_Customer,Macro,0.006,4.715,10.0,0.07,0.83,10.0,0.535,0.262,0.262
